iter	RMSE
0	5998.910522
1	5574.872371
2	5195.138125
3	4853.668021
4	4536.47777
5	4247.547877
6	3991.983076
7	3756.6063
8	3541.969233
9	3344.42004
10	3168.447284
11	3012.034792
12	2870.266558
13	2749.487591
14	2636.440328
15	2533.682555
16	2436.477897
17	2353.722066
18	2280.211775
19	2205.862318
20	2142.528727
21	2085.167055
22	2038.336221
23	1995.523582
24	1950.870713
25	1915.510913
26	1880.527605
27	1851.763481
28	1825.703325
29	1797.271313
30	1772.775919
31	1752.590534
32	1735.19776
33	1717.524883
34	1698.446006
35	1683.391941
36	1671.599294
37	1659.765541
38	1648.492153
39	1638.572243
40	1626.774652
41	1619.298386
42	1610.612472
43	1601.837122
44	1595.569722
45	1587.211063
46	1580.682439
47	1574.853289
48	1568.865547
49	1564.060637
50	1560.500286
51	1555.519635
52	1551.110376
53	1546.478807
54	1543.218781
55	1538.8332
56	1535.236807
57	1531.415649
58	1528.591246
59	1525.287988
60	1522.304871
61	1520.434561
62	1515.587284
63	1513.10241
64	1510.270297
65	1507.40726
66	1504.854009
67	1502.43673
68	1499.641339
69	1496.80084
70	1494.746838
71	1492.5652
72	1490.662049
73	1488.711271
74	1486.136762
75	1484.941217
76	1483.460375
77	1482.043764
78	1480.183407
79	1478.054344
80	1477.130553
81	1474.200101
82	1472.4899
83	1470.385534
84	1467.764854
85	1466.542061
86	1464.915693
87	1463.134981
88	1461.844942
89	1460.43952
90	1459.336236
91	1458.211215
92	1456.924868
93	1456.044718
94	1454.270456
95	1453.255108
96	1452.141501
97	1450.665975
98	1448.795166
99	1447.992873
100	1445.997422
101	1444.486656
102	1443.520192
103	1442.471838
104	1441.553832
105	1440.741721
106	1439.779478
107	1437.561767
108	1436.694199
109	1435.686702
110	1434.900678
111	1434.194068
112	1433.40935
113	1432.62102
114	1430.914573
115	1430.212454
116	1428.974243
117	1427.969864
118	1426.785142
119	1425.841192
120	1425.079838
121	1423.657803
122	1421.877896
123	1421.23508
124	1420.751474
125	1419.748611
126	1419.138953
127	1418.388904
128	1417.313792
129	1416.379839
130	1415.641161
131	1414.020448
132	1412.740485
133	1411.629659
134	1410.673236
135	1409.187534
136	1408.224111
137	1407.462668
138	1406.890205
139	1405.582159
140	1404.834822
141	1403.984308
142	1402.50619
143	1401.476841
144	1400.785962
145	1399.647916
146	1398.475091
147	1396.687308
148	1395.801477
149	1395.056995
150	1394.327337
151	1393.296001
152	1392.610359
153	1391.970941
154	1391.388291
155	1390.64886
156	1390.001265
157	1389.519629
158	1388.592142
159	1387.471863
160	1386.786095
161	1386.109081
162	1385.20004
163	1382.537842
164	1382.089867
165	1380.69622
166	1378.594749
167	1378.080332
168	1377.462886
169	1376.570985
170	1375.870007
171	1375.013449
172	1374.486656
173	1373.862745
174	1373.344125
175	1371.972135
176	1370.86844
177	1370.320699
178	1369.015264
179	1368.325041
180	1367.709317
181	1367.454207
182	1366.548274
183	1365.713539
184	1364.542278
185	1363.923373
186	1363.266125
187	1362.683206
188	1362.073491
189	1360.801124
190	1359.709843
191	1359.213074
192	1358.299863
193	1357.811311
194	1357.294809
195	1357.009353
196	1356.29609
197	1356.028876
198	1355.590788
199	1354.82095
200	1354.24014
201	1353.525448
202	1352.913901
203	1352.528977
204	1351.666584
205	1350.934597
206	1349.933017
207	1349.284373
208	1347.721186
209	1347.219244
210	1346.783534
211	1345.839922
212	1344.6309
213	1344.284225
214	1343.770237
215	1343.027219
216	1342.286376
217	1341.598715
218	1340.931145
219	1340.415869
220	1339.935039
221	1339.564145
222	1339.190623
223	1338.310864
224	1337.797098
225	1336.314808
226	1334.701807
227	1333.759417
228	1333.342007
229	1332.768678
230	1331.863007
231	1330.749207
232	1330.041624
233	1329.291688
234	1328.471941
235	1328.020563
236	1327.575244
237	1326.61026
238	1326.154493
239	1325.879608
240	1324.436558
241	1324.028219
242	1323.500058
243	1323.085243
244	1322.29017
245	1320.80044
246	1320.193398
247	1319.776419
248	1319.341388
249	1319.172169
250	1318.504368
251	1317.845892
252	1317.491654
253	1317.051684
254	1316.488807
255	1315.787856
256	1315.280854
257	1314.896095
258	1313.932511
259	1313.435142
260	1312.911522
261	1312.503898
262	1311.217603
263	1310.653072
264	1310.142257
265	1309.436876
266	1308.811892
267	1308.439309
268	1307.970287
269	1307.615964
270	1306.900323
271	1306.486993
272	1306.331647
273	1305.900353
274	1305.334875
275	1304.799405
276	1304.495176
277	1302.788914
278	1302.440102
279	1301.769849
280	1301.355847
281	1300.868549
282	1300.564405
283	1299.606981
284	1298.780003
285	1298.532928
286	1298.104939
287	1297.583934
288	1296.548951
289	1296.163476
290	1295.779977
291	1295.216343
292	1294.124522
293	1293.748623
294	1292.601823
295	1292.400534
296	1292.118725
297	1291.725296
298	1290.65541
299	1290.323274
300	1289.800769
301	1289.227986
302	1288.660447
303	1288.22693
304	1287.964218
305	1287.429278
306	1286.511514
307	1286.333349
308	1285.801405
309	1284.865155
310	1283.414948
311	1283.174711
312	1282.935085
313	1281.93103
314	1281.160949
315	1280.875055
316	1280.286733
317	1279.942958
318	1279.226617
319	1278.830095
320	1278.040559
321	1277.802479
322	1277.377763
323	1277.169877
324	1275.99953
325	1275.510443
326	1275.22621
327	1274.981436
328	1274.332553
329	1273.928674
330	1273.218102
331	1272.897227
332	1272.113475
333	1271.50163
334	1271.045106
335	1270.814377
336	1270.585235
337	1270.036734
338	1269.559347
339	1269.25482
340	1268.76677
341	1267.924428
342	1267.427043
343	1267.214771
344	1266.943798
345	1266.482271
